 # p_occup         n= 7          n= 9          n=11          n=13 
  0.588152  0.5429000000  0.5718000000  0.6617000000  0.7929000000
  0.588654  0.5376000000  0.5888000000  0.6715000000  0.8234000000
  0.589157  0.5463000000  0.5980000000  0.6870000000  0.8483000000
  0.589660  0.5503000000  0.6095000000  0.7117000000  0.8707000000
  0.590165  0.5566000000  0.6133000000  0.7185000000  0.8864000000
  0.590670  0.5601000000  0.6208000000  0.7316000000  0.9033000000
  0.591175  0.5750000000  0.6273000000  0.7495000000  0.9168000000
  0.591682  0.5658000000  0.6361000000  0.7721000000  0.9296000000
  0.592190  0.5707000000  0.6562000000  0.7848000000  0.9441000000
  0.592699  0.5779000000  0.6577000000  0.7943000000  0.9535000000
  0.593209  0.5785000000  0.6636000000  0.8111000000  0.9629000000
  0.593720  0.5774000000  0.6803000000  0.8129000000  0.9698000000
  0.594233  0.5871000000  0.6744000000  0.8408000000  0.9784000000
  0.594747  0.5893000000  0.6911000000  0.8475000000  0.9810000000
  0.595262  0.5953000000  0.7056000000  0.8624000000  0.9855000000
  0.595779  0.6016000000  0.7039000000  0.8692000000  0.9881000000
  0.596298  0.6064000000  0.7140000000  0.8814000000  0.9909000000
  0.596818  0.6156000000  0.7246000000  0.8895000000  0.9916000000
  0.597340  0.6282000000  0.7377000000  0.8960000000  0.9937000000
  0.597864  0.6313000000  0.7402000000  0.9068000000  0.9958000000
  0.598390  0.6253000000  0.7479000000  0.9104000000  0.9961000000
  0.598918  0.6333000000  0.7565000000  0.9233000000  0.9971000000
  0.599448  0.6376000000  0.7665000000  0.9275000000  0.9978000000
  0.599980  0.6463000000  0.7780000000  0.9345000000  0.9978000000
  0.600514  0.6553000000  0.7729000000  0.9420000000  0.9988000000
  0.601051  0.6501000000  0.7852000000  0.9461000000  0.9994000000
  0.601590  0.6556000000  0.7956000000  0.9506000000  0.9988000000
  0.602132  0.6740000000  0.8009000000  0.9568000000  0.9995000000
  0.602677  0.6621000000  0.8139000000  0.9585000000  0.9996000000
  0.603224  0.6745000000  0.8120000000  0.9631000000  0.9996000000
  0.603775  0.6790000000  0.8217000000  0.9685000000  0.9999000000
  0.604328  0.6860000000  0.8283000000  0.9709000000  0.9998000000
  0.604884  0.6904000000  0.8270000000  0.9719000000  1.0000000000
  0.605444  0.6906000000  0.8398000000  0.9780000000  1.0000000000
  0.606007  0.6933000000  0.8426000000  0.9817000000  1.0000000000
  0.606573  0.6898000000  0.8429000000  0.9815000000  1.0000000000
  0.607143  0.7011000000  0.8601000000  0.9852000000  1.0000000000
  0.607717  0.7044000000  0.8656000000  0.9861000000  1.0000000000
  0.608294  0.7157000000  0.8658000000  0.9873000000  1.0000000000
  0.608876  0.7190000000  0.8716000000  0.9905000000  1.0000000000
  0.609462  0.7203000000  0.8796000000  0.9901000000  1.0000000000
  0.610052  0.7220000000  0.8925000000  0.9914000000  1.0000000000
  0.610646  0.7304000000  0.8909000000  0.9932000000  1.0000000000
  0.611245  0.7399000000  0.8915000000  0.9952000000  1.0000000000
  0.611849  0.7377000000  0.9023000000  0.9953000000  1.0000000000
  0.612457  0.7457000000  0.9022000000  0.9955000000  1.0000000000
  0.613071  0.7484000000  0.9118000000  0.9968000000  1.0000000000
  0.613690  0.7434000000  0.9144000000  0.9972000000  1.0000000000
  0.614315  0.7606000000  0.9142000000  0.9979000000  1.0000000000
  0.614945  0.7630000000  0.9191000000  0.9973000000  1.0000000000
